HoleSection,M_Depth,RateofPenetration,WeightonBit,Rotation,Torque,StandpipePressure,FlowIn,FlowOut,PumpStroke,MudWeight,FunnelViscosity,PlasticViscosity,YieldPoint,Gel_Strength10sec,Gel_Strength10min,Solid,LossesSeverity
17.5,435,33.51,5.1722,115.78,2.71,1593.55,921.9533000000001,86.73,162.47,75.0,38,9,14,4,6,13,No-Loss
6.125,3417,8.53,1.2,167.0,4.416,2492.0,180.0,47.58,35.0,76.0,44,13,15,3,5,12,No-Loss
6.125,3670,10.584,10.785903999999999,164.34,1.9088299999999998,2633.2,219.2611,59.85,42.84,77.0,55,18,22,4,5,13,No-Loss
17.5,382,74.94600000000001,48.221848,140.44,3.98,771.4000000000001,908.7448,77.29,173.19,71.0,36,6,15,3,4,8,No-Loss
17.5,1209,2.91,9.403383999999999,176.28,2.68,1241.2,850.6274,62.05,147.18,76.0,43,10,12,6,5,12,No-Loss
8.5,2607,7.782000000000001,4.932112,177.48,0.0,1284.6999999999998,446.44730000000004,63.43,85.12,79.0,48,15,17,4,5,15,No-Loss
12.25,1760,11.764705882352942,13.8,158.0,4.6,2794.0,651.0,57.88,118.0,125.0,60,48,26,6,8,35,No-Loss
17.5,602,20.532,33.690799999999996,108.85,7.2,1828.4499999999998,974.7873000000001,75.51,165.68,75.0,38,9,14,4,6,13,No-Loss
17.5,380,25.542,26.0744,150.6,3.72,1800.9,906.1031,87.7,155.02,74.0,40,8,13,5,7,12,No-Loss
6.125,4192,1.41,3.5,218.0,2.615,2870.0,225.0,35.25,49.0,70.0,46,16,11,4,5,14,No-Loss
8.5,2164,19.68,5.4,236.0,4.868,1884.0,507.0,43.56,97.0,75.0,41,10,14,3,4,11,No-Loss
17.5,983,5.59,50.6,102.0,2.251,1698.0,623.0,51.84,109.0,78.0,43,16,12,4,7,15,No-Loss
12.25,1394,9.67741935483871,4.7,112.0,6.0,708.0,599.0,63.78,108.0,72.0,39,12,11,3,4,9,No-Loss
8.5,3045,2.21,13.0,156.0,5.48,1977.0,446.0649000000001,45.16,97.0,80.0,52,20,25,5,7,16,No-Loss
17.5,1139,5.02,42.7,122.0,3.195,2162.0,907.0,57.22,159.0,79.0,40,13,10,3,5,15,No-Loss
17.5,1208,1.5584415584415585,26.7,171.0,3.8,2265.0,956.0,66.41,155.0,75.0,40,7,20,7,8,11,No-Loss
12.25,1721,3.7,38.658856,185.25,3.2054400000000003,2544.75,705.3339,78.99,133.06,123.0,57,37,22,4,6,34,No-Loss
8.5,2723,8.604,21.351504000000002,163.27,4.25,2559.25,647.2165000000001,74.39,139.59,79.0,45,16,18,4,5,14,No-Loss
8.5,1945,10.69,4.0,110.0,4.76,1813.0,542.4614,59.74,110.0,74.0,45,17,18,3,4,10,No-Loss
8.5,2577,15.27,9.2,141.0,2.958,2770.0,579.0,54.17,111.0,81.0,46,14,15,3,4,17,No-Loss
8.5,2195,6.61,12.6,137.0,4.764,2871.0,625.0,70.59,120.0,80.0,44,12,13,3,4,16,No-Loss
12.25,1670,15.666,10.979232000000001,165.94,2.47,2775.3,665.7084000000001,61.75,120.52,120.0,61,37,21,7,8,33,No-Loss
12.25,1311,23.076923076923077,9.6,93.0,3.0,810.0,656.0,67.29,118.0,68.0,47,18,16,3,4,7,No-Loss
17.5,467,29.740000000000002,25.7,131.0,5.7,1380.0,759.36504,25.5,133.0,71.0,35,6,16,1,2,8,No-Loss
8.5,2280,6.048,17.054399999999998,150.99,3.11,2108.3,549.4736,87.04,125.57,77.0,38,11,16,4,6,13,No-Loss
17.5,727,21.42857142857143,14.3,82.0,3.1,1700.0,803.0,67.12,137.0,76.0,38,6,13,4,5,12,No-Loss
17.5,449,47.760000000000005,34.1726,133.42,2.04,1787.85,935.1618000000001,25.0,170.77,75.0,37,9,14,7,8,9,No-Loss
6.125,3263,6.54,2.0,145.0,3.31,1914.0,188.0392,57.73,41.0,75.0,41,17,14,2,3,10,No-Loss
6.125,3356,5.088,8.254655999999999,206.86,3.2340000000000004,2028.55,203.41090000000003,81.05,42.84,76.0,52,18,22,4,5,11,No-Loss
17.5,566,11.51,36.0,141.0,2.788,1958.0,811.0,61.22,142.0,75.0,40,10,12,5,7,12,No-Loss
8.5,4072,5.172413793103448,25.7,109.0,3.6,2702.0,418.0,74.3,90.0,103.0,50,28,25,4,6,25,No-Loss
17.5,1131,3.2399999999999998,40.021,152.05,4.14,1953.15,832.1355,69.18,143.19,75.0,39,9,13,6,14,10,No-Loss
8.5,1761,37.446,4.763,170.77,3.27,2054.65,586.4574000000001,56.17,127.74,75.0,40,10,12,3,5,14,No-Loss
8.5,2157,8.955223880597014,7.0,188.0,3.2,2296.0,541.0,41.08,107.0,76.0,40,12,15,3,4,12,No-Loss
17.5,322,2.86,5.2,76.0,2.376,1529.0,769.0,51.2,135.0,73.0,33,3,8,4,6,10,No-Loss
12.25,1367,21.768,10.7822,77.68,3.53,1009.2,789.8683000000001,77.86,152.93,70.0,42,8,11,3,5,8,No-Loss
12.25,2479,6.096,12.1792,233.82,3.78,2251.85,626.0829000000001,54.58,118.55,79.0,39,11,13,3,5,15,No-Loss
17.5,1190,1.5789473684210527,13.9,99.0,2.1,2625.0,840.0,62.67,152.0,82.0,43,13,14,5,6,18,No-Loss
8.5,2495,5.106,16.3966,162.09,3.82,2173.55,552.1153,77.37,115.64,77.0,38,11,16,5,7,13,No-Loss
17.5,424,23.784,33.200712,198.2232,1.38,646.7,673.6335,82.59,129.84,72.0,36,5,20,12,15,8,No-Loss
17.5,306,22.48,16.5,150.0,2.1,2020.0,799.0,53.53,152.0,74.0,38,5,13,8,10,11,No-Loss
8.5,2178,19.11,10.538,253.38,3.515,2086.55,509.8481,46.53,112.25,76.0,36,13,12,3,5,11,No-Loss
12.25,1318,3.9779999999999998,20.0046,134.5,3.45,1863.25,575.8906000000001,47.74,111.21,116.0,44,24,15,3,5,32,No-Loss
17.5,888,4.35,49.813432,139.23,5.0,1080.25,892.8946000000001,81.06,171.54,77.0,41,11,15,9,10,13,No-Loss
6.125,3557,2.61,27.317695999999998,150.46,0.00737,2482.4,243.03640000000001,78.97,48.11,77.0,55,18,22,4,5,13,No-Loss
8.5,3014,3.6699999999999995,2.9,164.0,5.01,2130.0,467.1929,48.78,101.0,80.0,52,20,25,5,7,16,No-Loss
8.5,2222,8.571428571428571,5.4,230.0,3.6,2227.0,502.0,45.59,96.0,74.0,45,12,20,4,6,12,No-Loss
12.25,2145,3.474,12.2804,239.04999999999998,2.62,1908.2,626.0829000000001,54.04,119.51,77.0,39,10,13,3,5,13,No-Loss
6.125,2937,8.694,4.7522720000000005,236.95,0.9,1982.15,245.67810000000003,61.21,53.22,77.0,46,15,14,3,4,13,No-Loss
17.5,976,7.55,36.7,150.0,3.794,2024.0,691.0,61.59,132.0,77.0,43,11,14,5,7,14,No-Loss
8.5,2674,2.3939999999999997,8.206,168.13,3.59,2305.5,549.4736,59.57,125.32,77.0,38,11,16,4,6,13,No-Loss
17.5,855,8.58,34.3,150.0,4.258,1859.0,956.0,81.87,164.0,82.0,53,14,21,8,10,19,No-Loss
8.5,2208,6.53,16.9,196.0,3.997,2485.0,542.0,63.04,104.0,77.0,39,11,12,2,3,13,No-Loss
12.25,1447,5.084745762711864,15.0,173.0,4.8,2552.0,697.0,65.36,119.0,118.0,60,42,24,6,8,33,No-Loss
8.5,2514,18.24,12.152688000000001,162.2,4.75,2314.2000000000003,657.7833,80.6,144.27,79.0,45,15,17,3,4,15,No-Loss
8.5,2442,9.882000000000001,6.247192,166.61,4.17,1969.1,618.1578,81.03,130.29,77.0,44,13,16,2,4,13,No-Loss
17.5,670,8.91,37.276336,134.05,3.72,967.15,903.4614,85.46,174.74,75.0,39,9,20,9,10,11,No-Loss
12.25,1522,6.474,36.390623999999995,173.16,2.96,2366.4,702.6922000000001,83.89,132.72,119.0,54,35,25,4,6,32,No-Loss
8.5,2575,10.212,5.258,162.81,3.93,2019.85,517.7732,56.95,119.1,77.0,38,11,16,5,7,13,No-Loss
6.125,3792,3.82,4.5,207.0,4.117,2486.0,212.0,36.4,46.0,76.0,46,12,15,3,4,13,No-Loss
17.5,442,16.704,32.23,151.55,3.86,1867.6,895.5363000000001,69.53,153.82,74.0,40,8,13,5,7,12,No-Loss
8.5,2724,3.076923076923077,17.3,196.0,0.0,2036.0,495.0,51.9,99.0,75.0,44,13,27,5,7,12,No-Loss
6.125,3052,7.49,9.6,180.0,2.136,2432.0,216.0,35.86,47.0,76.0,43,10,9,3,4,13,No-Loss
8.5,1765,37.98,7.1,195.0,3.107,2205.0,530.0,76.17,102.0,76.0,38,7,10,2,3,13,No-Loss
6.125,3279,3.456,12.5642,191.76,2.43,2827.5,235.11130000000003,51.99,52.0,76.0,44,19,21,4,6,16,No-Loss
6.125,3823,3.378,5.671704,171.84,3.8,2627.4,227.1862,60.83,45.06,77.0,54,18,22,4,5,13,No-Loss
12.25,2854,9.815999999999999,7.9816,216.99,4.12,2409.9,591.7408,55.31,117.06,81.0,42,12,17,4,6,17,No-Loss
12.25,1460,6.59,18.7,164.0,4.222,2787.0,699.0,52.93,134.0,118.0,44,30,16,4,5,33,No-Loss
17.5,917,4.2299999999999995,25.8478,108.45,6.93,1244.1,797.7934,51.77,139.83,80.0,39,11,15,5,8,19,No-Loss
8.5,1792,12.23,4.9,221.0,2.655,1557.0,498.0,47.21,96.0,75.0,40,10,10,2,3,11,No-Loss
17.5,972,4.518000000000001,26.151400000000002,147.22,2.58,1664.6000000000001,914.0282000000001,83.21,161.01,80.0,39,11,15,4,7,19,No-Loss
6.125,3398,3.4859999999999998,9.8384,115.44,0.02,2415.7,198.1275,44.58,49.1,76.0,43,20,18,4,6,13,No-Loss
6.125,3475,6.0600000000000005,5.1951279999999995,237.5,3.3186999999999998,2321.4500000000003,235.11130000000003,82.88,44.46,76.0,52,17,21,4,5,11,No-Loss
17.5,310,35.294117647058826,14.0,132.0,2.7,1141.0,797.0,51.58,140.0,68.0,30,5,3,1,2,7,No-Loss
17.5,1247,3.3,35.0,136.0,3.199,2658.0,813.0,52.86,143.0,78.0,45,11,10,4,5,15,No-Loss
12.25,1535,5.412,35.423984000000004,173.99,3.05,2523.0,705.3339,60.92,137.07,119.0,54,35,25,4,6,32,No-Loss
17.5,948,6.382978723404255,44.6,117.0,4.3,1453.0,843.0,37.54,148.0,73.0,37,8,17,7,8,9,No-Loss
8.5,1542,6.07,13.4,129.0,1.706,1430.0,604.0,57.86,116.0,77.0,42,12,11,2,3,13,No-Loss
17.5,354,51.09,4.6,129.0,3.002,1462.0,938.0,55.29,161.0,74.0,35,8,12,6,8,12,No-Loss
17.5,516,12.67,22.0,129.0,3.927,1535.0,905.0,44.32,155.0,75.0,35,8,15,8,9,12,No-Loss
8.5,2222,13.636363636363635,16.2,165.0,4.8,2149.0,599.0,37.8,113.0,76.0,44,16,20,3,4,12,No-Loss
